actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Léo Grêlé,Constantin Vidal,Déborah Lukumuena",Depuis 2019, France,Adapatation du concept de la série finlandaise ,"Comédie,Drame",,,20,2,4.0,4.3,"Marine Maugrain-Legagneur,Victor Lockwood",En cours,20 min,Mental,
"Bruce Campbell,Ray Santiago,Dana DeLorenzo",2015 - 2018, U.S.A.,"Alors qu'il vit caché depuis 30 ans, Ash se voit contraint de reprendre du service et d'affronter ses démons. Au sens propre comme au figuré. Mais cette fois, il n'est plus seul pour combattre les forces du Mal.","Comédie,Epouvante-horreur,Thriller",,,30,3,3.9,4.3,"Sam Raimi,Ivan Raimi,Tom Spezialy",Annulée,30 min,Ash vs Evil Dead,
"Frédéric Pierrot,Frédéric Pierrot,Charlotte Gainsbourg",2021 - 2022, France,"Paris, automne 2015. Philippe Dayan reçoit chaque semaine dans son cabinet à deux pas de la place de la République, une chirurgienne en plein désarroi amoureux, un couple en crise, une ado aux tendances suicidaires et un agent de la BRI traumatisé par son intervention au Bataclan. A l’écoute de ces vies bouleversées, le séisme émotionnel qui se déclenche en lui est sans précédent. Pour tenter d’y échapper, il renoue avec son ancienne analyste, Esther, avec qui il avait coupé les ponts depuis près de 12 ans.",Drame,,,70,2,3.9,4.3,"Eric Toledano,Olivier Nakache",Terminée,26 min,En thérapie,
"Alexander Dreymon,Emily Cox,Millie Brady",2015 - 2022, Grande-Bretagne,"En Angleterre, au IXème siècle, Uhtred, le fils d'un noble, kidnappé par les Vikings lorsqu'il était enfant, doit choisir entre son pays natal et le peuple qui l'a élevé.","Drame,Historique",,,46,5,3.9,4.3,Stephen Butchard,Terminée,60 min,The Last Kingdom,
"Charles Dance,Douglas Booth,Maeve Dermody",2015, Grande-Bretagne,"Isolés du continent par une tempête, huit inconnus sont accueillis par deux domestiques sur L'Île du Soldat, en Angleterre. Pendant le repas, une voix s’élève et les accuse tour à tour d’avoir commis un crime. Avant le matin, deux personnes ont déjà trouvé la mort dans des circonstances suspectes.","Policier,Drame,Thriller",,,3,1,3.9,4.3,,Terminée,52 min,Agatha Christie : Dix Petits Nègres,
"Shaun Evans,Shaun Evans,Roger Allam",2013 - 2023, Grande-Bretagne,"En 1965, Endeavour Morse débute sa carrière de détective dans la police d'Oxford. Dès lors, il enchaîne les désillusions et s'apprête à démissionner lorsqu'on l'envoie enquêter sur la disparation d'une jeune fille de 15 ans. L'éducation qu'il a reçue à l'Université de Oxford - qu'il a quitté sans avoir obtenu de diplôme - lui apporte de nombreux avantages, mais aussi des inconvénients, quand il s'agit de suivre les règles établies par le système de la police. Il décide donc de finalement présenter sa lettre de démission à son supérieur, l'Inspecteur Fred Thursday. Celui-ci la refuse car il voit en le jeune Endeavour un grand potentiel et il devient son mentor.","Policier,Drame",,,36,9,4.3,4.5,Russell Lewis,Terminée,90 min,Les Enquêtes de Morse,
"Callum Turner,Anthony Boyle,Austin Butler",2024, U.S.A.,"L'histoire de la 8ème Air Force américaine, chargée de bombarder les armes nazies pendant la Seconde Guerre mondiale.","Action,Drame,Historique,Guerre",,,9,1,4.1,4.3,John Orloff,Terminée,55 min,Masters of the Air,
"Ambika Mod,Leo Woodall",2024, Grande-Bretagne,"Emma Morley et Dexter Mayhew se rencontrent le jour de leur remise de diplôme universitaire, le 15 juillet 1988. Ils vont grandir, se rapprocher et se séparer, connaître des joies et des peines ensemble. ","Comédie dramatique,Drame,Romance",,,14,1,3.9,4.3,Nicole Taylor,Terminée,30 min,Un jour,
"Louise Bourgoin,Zacharie Chasseriaud,Alice Belaïdi",Depuis 2018, France,"Un hôpital public en périphérie d’une grande ville. Suite à des mesures sanitaires, les médecins titulaires du service de médecine interne se retrouvent confinés chez eux pour 48h. Trois internes inexpérimentés et un médecin légiste, qui ne se connaissent pas encore, vont devoir faire bloc pour gérer seuls le service et les malades. Mais la quarantaine se prolonge…","Drame,Médical",,,22,3,3.9,4.3,Thomas Lilti,En cours,52 min,Hippocrate,
"Liev Schreiber,Eddie Marsan,Dash Mihok",2013 - 2020, U.S.A.,"Un spécialiste des litiges les plus compliqués, controversés et confidentiels des familles les plus aisées de Los Angeles, a bien du mal à régler ses problèmes à lui, bien souvent d'ordre familial...","Policier,Drame,Thriller",,,82,7,4.3,4.0,Ann Biderman,Annulée,42 min,Ray Donovan,
